t,input,std_recon,dsl_recon
507,-0,-0.0102445,-4.6397e-10
508,-0,-0.0699474,-2.57416e-10
509,-0,0.048248,1.359e-10
510,-0,-0.0434406,1.23418e-09
511,-0,-0.0357716,-3.40554e-10
512,-0,-0.0565088,-9.36244e-10
513,-0,-0.0567861,-4.76196e-10
514,-0,0.0113191,-9.73663e-10
515,-0,-0.0400017,5.76782e-10
516,-0,-0.00164577,-1.25426e-09
517,-0,-0.0928501,-1.87823e-09
518,-0,-0.00719931,-1.51873e-10
519,-0,0.0215704,-2.60815e-10
520,-0,0.000740058,5.92794e-10
521,-0,0.0192801,2.23014e-11
522,-0,0.0815695,3.52636e-10
523,-0,-0.0152875,8.27375e-10
524,-0,0.0161583,-4.57269e-11
525,-0,-0.0454161,-1.62427e-09
526,-0,-0.0957789,-2.66402e-10
527,-0,0.0602014,-3.15325e-10
528,-0,0.0270467,5.47735e-10
529,-0,-0.0559104,1.65579e-10
530,-0,-0.0385346,-1.56827e-09
531,-0,-0.0832074,-5.95174e-11
532,-0,0.023991,-5.00103e-10
533,-0,0.0373018,-1.46988e-09
534,-0,0.056324,-3.25634e-10
535,-0,0.0664636,5.08014e-10
536,-0,-0.0276232,2.19771e-10
537,-0,0.00212154,6.8821e-10
538,-0,-0.0178064,-8.50544e-10
539,-0,-0.00890945,1.99258e-10
540,-0,0.0631269,-7.6131e-10
541,-0,0.0242879,-5.11072e-10
542,-0,-0.0283337,-3.82497e-10
543,-0,0.0526684,8.7479e-10
544,-0,-0.0137598,-4.73682e-10
545,-0,0.00967005,-1.0584e-09
546,-0,-0.0360325,-8.00746e-10
547,-0,-0.122412,2.56462e-11
548,-0,0.0216154,6.92273e-10
549,-0,0.0616016,5.05672e-10
550,-0,0.0192121,-3.00729e-10
551,-0,-0.1038,2.95632e-10
552,-0,0.0953981,-1.19648e-11
553,-0,0.00114222,-5.48182e-10
554,-0,-0.00484884,-4.7053e-10
555,-0,-0.00137662,1.34196e-09
556,-0,0.0265761,3.59676e-10
557,-0,-0.0536021,-4.80263e-10
558,-0,-0.0175553,1.25595e-10
559,-0,0.0106491,1.10494e-09
560,-0,0.0277788,-1.426e-09
561,-0,-0.00422538,-1.19047e-10
562,-0,-0.01846,1.80821e-09
563,-0,0.0330193,-2.47017e-11
564,-0,0.0323078,4.98696e-10
565,-0,0.0641802,5.41679e-11
566,-0,-0.0351179,-8.81505e-10
567,-0,-0.0461296,6.05101e-10
568,-0,-0.0422977,1.14472e-09
569,-0,-0.0225592,-5.25781e-10
570,-0,0.00268936,7.37261e-10
571,-0,-0.038954,-4.47058e-10
572,-0,-0.0508339,3.02274e-10
573,-0,0.0531767,-5.23805e-10
574,-0,-0.0110554,6.06277e-10
575,-0,-0.0366435,1.75304e-10
576,-0,-0.0214788,7.7165e-10
577,-0,-0.0402743,6.51236e-10
578,-0,0.019255,-3.28671e-10
579,-0,-0.0037696,-2.22277e-10
580,-0,0.081696,1.30754e-09
581,-0,-0.0254737,1.68728e-09
582,-0,-0.00787565,-9.47487e-10
583,-0,0.0604649,-2.41784e-10
584,-0,0.00834019,1.89951e-10
585,-0,0.0474645,1.92305e-10
586,-0,-0.0083106,2.20264e-10
587,-0,0.104655,-1.06826e-09
588,-0,0.0182337,-2.57328e-10
589,-0,0.0321116,1.18654e-10
590,-0,-0.0452722,-2.29358e-10
591,-0,0.0135749,2.89364e-10
592,-0,-0.0123804,-8.52618e-10
593,-0,-0.0516724,-1.1463e-10
594,-0,-1.95146e-06,5.88683e-10
595,-0,0.0283011,-9.21806e-11
596,-0,-0.044189,-1.2028e-10
597,-0,0.0189061,7.5023e-10
598,-0,0.00902473,-5.73767e-10
599,-0,0.0177655,-8.87976e-10
600,-0,0.0194387,6.09684e-10
601,-0,0.0174244,2.66982e-10
602,-0,-0.0263542,-1.92978e-10
603,-0,0.0310157,-6.27736e-10
604,-0,-0.00627957,3.58731e-10
605,-0,0.021077,-1.85213e-10
606,-0,0.0945414,2.79344e-10
607,-0,0.0478125,1.63002e-09
608,-0,0.0467364,4.88449e-10
609,-0,-0.00270563,1.02172e-09
610,-0,-0.0220966,6.05884e-10
611,-0,-0.0525783,-5.29825e-10
612,-0,0.0254934,4.55199e-10
613,-0,-0.00539126,-1.33233e-09
614,-0,0.0625848,3.53739e-10
615,-0,-0.0284235,-7.64352e-10
616,-0,0.0078575,3.5628e-10
617,-0,0.0139806,-3.65709e-10
618,-0,-0.0315898,6.63193e-11
619,-0,0.0374132,-2.099e-10
620,-0,0.0253856,1.79099e-10
621,-0,-0.0100845,2.37876e-10
622,-0,0.0360279,3.02374e-10
623,-0,0.0196714,1.25027e-09
624,-0,0.00256047,7.41528e-10
625,-0,-0.020545,8.73871e-10
626,-0,-0.0185657,4.63519e-10
627,-0,0.059551,5.29422e-11
628,-0,0.0326754,3.50063e-10
629,-0,-0.0122487,1.22811e-09
630,-0,0.0779464,-1.07604e-09
631,-0,-0.0103942,5.85441e-10
632,-0,0.00275891,-2.66447e-10
633,-0,-0.0152299,1.47261e-09
634,-0,-0.0013534,4.89911e-10
635,-0,0.0279809,-6.9674e-10
636,-0,-0.00265,-6.5958e-10
637,-0,-0.0496388,-2.69401e-10
